,e_count,emoji,emotion,unicode
1,128883,🏻,,
2,117109,👍,,
3,91763,❤,,
4,88323,♥,,
5,83084,✔,,
6,77933,💕,,
7,56220,😍,,
8,55891,♀,,
9,50701,👉,,
10,45249,😭,,
11,44862,🤣,,
12,37954,♂,,
13,37543,🔥,,
14,37223,🙏,,
15,36885,☎,,
16,35750,😂,,
17,32617,💪,,
18,32277,😊,,
19,30361,😆,,
20,29822,👏,,
21,28460,✅,,
22,27895,😘,,
23,27821,🤗,,
24,27786,😁,,
25,25177,😅,,
26,24428,❣,,
27,23000,🍃,,
28,21752,🥰,,
29,21707,🏃,,
30,21192,💜,,
31,20052,▶,,
32,19808,😎,,
33,19803,✨,,
34,18954,🌸,,
35,18242,💛,,
36,17999,😋,,
37,17789,☺,,
38,17719,💰,,
39,16222,🏼,,
40,16127,🐰,,
41,16032,💡,,
42,15898,🔴,,
43,15799,📸,,
44,15741,➖,,
45,14714,🙆,,
46,14462,👊,,
47,14283,🙌,,
48,14149,😄,,
49,14059,🌿,,
50,13662,💙,,
51,13590,😉,,
52,13459,🤩,,
53,13270,😱,,
54,13113,⛰,,
55,13022,🎶,,
56,12814,🤔,,
57,12595,🙈,,
58,12218,🤭,,
59,12039,🚴,,
60,11808,⭐,,
61,11791,📌,,
62,11736,✌,,
63,11587,🔜,,
64,11472,❌,,
65,11168,‼,,
66,11158,🤪,,
67,10882,📞,,
68,10558,🙋,,
69,10220,🧡,,
70,10017,💋,,
71,9842,🏷,,
72,9411,🌼,,
73,9387,🏋,,
74,9232,📩,,
75,8944,😢,,
76,8862,➡,,
77,8804,☕,,
78,8747,🤦,,
79,8592,😀,,
80,8557,🙄,,
81,8410,📍,,
82,8366,🖤,,
83,8255,💚,,
84,8240,▪,,
85,8170,🏽,,
86,8084,🎁,,
87,8083,💓,,
88,8036,👀,,
89,7962,🐶,,
90,7828,👋,,
91,7802,🌟,,
92,7491,🎉,,
93,7349,▫,,
94,7346,📷,,
95,7306,🙇,,
96,6993,💖,,
97,6911,💗,,
98,6859,☀,,
99,6812,◾,,
100,6798,👌,,
