,e_count,emoji,sentiment,unicode
1,128883,🏻,neu,
2,117109,👍,pos,
3,91763,❤,pos,
4,88323,♥,pos,
5,83084,✔,neu,
6,77933,💕,pos,
7,56220,😍,pos,
8,55891,♀,neu,
9,50701,👉,neu,
10,45249,😭,neg,
11,44862,🤣,pos,
12,37954,♂,neu,
13,37543,🔥,neu,
14,37223,🙏,neu,
15,36885,☎,neu,
16,35750,😂,pos,
17,32617,💪,pos,
18,32277,😊,pos,
19,30361,😆,pos,
20,29822,👏,pos,
21,28460,✅,neu,
22,27895,😘,pos,
23,27821,🤗,pos,
24,27786,😁,pos,
25,25177,😅,neg,
26,24428,❣,pos,
27,23000,🍃,neu,
28,21752,🥰,pos,
29,21707,🏃,neu,
30,21192,💜,pos,
31,20052,▶,neu,
32,19808,😎,pos,
33,19803,✨,neu,
34,18954,🌸,neu,
35,18242,💛,pos,
36,17999,😋,pos,
37,17789,☺,pos,
38,17719,💰,neu,
39,16222,🏼,neu,
40,16127,🐰,neu,
41,16032,💡,neu,
42,15898,🔴,neg,
43,15799,📸,neu,
44,15741,➖,neu,
45,14714,🙆,pos,
46,14462,👊,neu,
47,14283,🙌,pos,
48,14149,😄,pos,
49,14059,🌿,neu,
50,13662,💙,pos,
51,13590,😉,pos,
52,13459,🤩,pos,
53,13270,😱,neg,
54,13113,⛰,neg,
55,13022,🎶,pos,
56,12814,🤔,neg,
57,12595,🙈,pos,
58,12218,🤭,pos,
59,12039,🚴,neu,
60,11808,⭐,neu,
61,11791,📌,neu,
62,11736,✌,pos,
63,11587,🔜,neu,
64,11472,❌,neg,
65,11168,‼,neu,
66,11158,🤪,neu,
67,10882,📞,neu,
68,10558,🙋,pos,
69,10220,🧡,pos,
70,10017,💋,pos,
71,9842,🏷,neu,
72,9411,🌼,neu,
73,9387,🏋,neu,
74,9232,📩,neu,
75,8944,😢,neg,
76,8862,➡,neu,
77,8804,☕,neu,
78,8747,🤦,neg,
79,8592,😀,pos,
80,8557,🙄,neg,
81,8410,📍,neu,
82,8366,🖤,pos,
83,8255,💚,pos,
84,8240,▪,neu,
85,8170,🏽,neu,
86,8084,🎁,pos,
87,8083,💓,pos,
88,8036,👀,neu,
89,7962,🐶,neu,
90,7828,👋,neu,
91,7802,🌟,neu,
92,7491,🎉,pos,
93,7349,▫,neu,
94,7346,📷,neu,
95,7306,🙇,neu,
96,6993,💖,pos,
97,6911,💗,pos,
98,6859,☀,neu,
99,6812,◾,neu,
100,6798,👌,pos,
